nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
kubernetes-client/java;v15.0.0;2bc5635eee052d967b646cb6b758d6992926da91;2022-03-28 12:27:25 +0000;v16.0.0;31516aae97ffadf3cc30a60c6e3687c57914c72e;2022-06-28 21:55:26 +0000;1452.314;1441.761;17;0;0;17;0;10;0;0;10;1
kubernetes-client/java;v16.0.0;31516aae97ffadf3cc30a60c6e3687c57914c72e;2022-06-28 21:55:26 +0000;v17.0.0;2f788cbac8f81fae45881b53b04976036e5d45b6;2022-12-08 22:19:20 +0000;1441.761;1316.982;21;0;0;21;1;11;0;2;14;2
kubernetes-client/java;v17.0.0;2f788cbac8f81fae45881b53b04976036e5d45b6;2022-12-08 22:19:20 +0000;v18.0.0;17dbc8030f4d9f9797f6517d7c0f4b68e56eb9a6;2023-03-03 17:27:45 +0000;1316.982;1317.465;12;0;0;12;1;9;0;2;12;3
kubernetes-client/java;v18.0.0;17dbc8030f4d9f9797f6517d7c0f4b68e56eb9a6;2023-03-03 17:27:45 +0000;v19.0.0;82746297604a907991e23c74902ca348cba73bb3;2023-10-24T18:20:23+02:00;1317.465;1308.653;20;1;1;22;3;22;0;6;31;4
kubernetes-client/java;v19.0.0;82746297604a907991e23c74902ca348cba73bb3;2023-10-24T18:20:23+02:00;v20.0.0;6b53bde279b39ff1248120211b59e846a3f861c3;2024-02-07 00:43:53 +0000;1308.653;1389.985;36;0;0;36;1;9;0;6;16;5
kubernetes-client/java;v20.0.0;6b53bde279b39ff1248120211b59e846a3f861c3;2024-02-07 00:43:53 +0000;v21.0.0;ca355e59d3c0b191b28ab5f0176b57eb2f7bd8f3;2024-06-21 17:40:13 +0000;1389.985;1419.304;25;0;0;25;3;9;0;2;14;6
kubernetes-client/java;v21.0.0;ca355e59d3c0b191b28ab5f0176b57eb2f7bd8f3;2024-06-21 17:40:13 +0000;v22.0.0;8b2bf3312e2eac781950d7693623f5d20de09cd2;2024-11-08T23:28:43+00:00;1419.304;1428.129;17;0;0;17;0;6;0;1;7;7
kubernetes-client/java;v22.0.0;8b2bf3312e2eac781950d7693623f5d20de09cd2;2024-11-08T23:28:43+00:00;v23.0.0;ced342bdaa87a16891137b8c4628cd1d77d310e0;2025-02-19 19:55:22 +0000;1428.129;1447.268;7;0;0;7;0;1;0;0;1;8
kubernetes-client/java;v23.0.0;ced342bdaa87a16891137b8c4628cd1d77d310e0;2025-02-19 19:55:22 +0000;v24.0.0;cb014bc24d96a0b6206371d0d0943245f51c2b30;2025-05-23 18:53:41 +0000;1447.268;1530.582;5;0;0;5;0;3;0;7;10;9
kubernetes-client/java;v24.0.0;cb014bc24d96a0b6206371d0d0943245f51c2b30;2025-05-23 18:53:41 +0000;v25.0.0;dd45f2339571fa4455693b675a70b334a159436d;2025-10-23 18:27:56 +0000;1530.582;1602.009;3;0;0;3;0;5;0;0;5;10
